timestamp,spec,rep,canvas_w,canvas_h,dpr,scenario,renderer,atoms,render_fps,update_fps,frames,drawn_frames,frame_ms_mean,frame_ms_p50,frame_ms_p95,frame_ms_p99,cpu_ms_mean,gpu_ms_mean,load_ms,gl_total,gl_draw,gl_use_program,gl_buffer_sub_data,gl_buffer_sub_data_bytes,gl_get_uniform_location,rss_mb,update_ms_mean,update_ms_p95,traj_frames,traj_format,traj_lazy,update_first_ms_mean,update_first_n,update_cached_ms_mean,update_cached_n,crd_send_ms_mean,crd_send_ms_p95,tex_upload_ms_mean,tex_upload_ms_p95,alloc_mb_per_frame,transfer_clock,frame_ms_p95_cpu,gpu_ms_p95,label,git_sha,patch_sha256,addon_path,gpu,gl_version,platform
2026-09-24T17:18:47.835Z,1aon-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,58870,59.985,59.985,360,360,16.62,16.7,18.4,18.7,0.626,4.208,2061.7,46.019,1,4,6,528,1,547.963,0.294,0.5,,,,,,,,0.367,0.503,0.104,0.12,0,"steady_clock",0.9,4.329,"D-r3","ebb4bddb76a75ffe8ebeb5a260859bc4b1fb0e2e","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/D/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T17:18:59.399Z,1aon-cpk-static-orbit,0,1832,1010,2,static-orbit,cpk,58870,59.976,0,360,360,16.62,16.7,18.1,18.6,0.308,4.258,775.1,42.019,1,4,6,528,1,311.443,,,,,,,,,,,,,,0,"steady_clock",0.4,4.347,"D-r3","ebb4bddb76a75ffe8ebeb5a260859bc4b1fb0e2e","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/D/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T17:19:10.465Z,1crn-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,327,59.987,59.987,360,360,16.623,16.7,18.3,18.6,0.283,0.845,277.5,46.019,1,4,6,528,1,250.97,0.115,0.2,,,,,,,,0.052,0.077,0.024,0.03,0,"steady_clock",0.4,0.879,"D-r3","ebb4bddb76a75ffe8ebeb5a260859bc4b1fb0e2e","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/D/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T17:19:21.519Z,1crn-cpk-static-orbit,0,1832,1010,2,static-orbit,cpk,327,59.99,0,360,360,16.624,16.7,18.3,18.6,0.277,0.843,263.4,42.019,1,4,6,528,1,226.099,,,,,,,,,,,,,,0,"steady_clock",0.4,0.872,"D-r3","ebb4bddb76a75ffe8ebeb5a260859bc4b1fb0e2e","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/D/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T17:20:34.452Z,3j3q-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,2440800,57.753,57.753,578,578,17.271,16.7,20.5,29.8,8.987,20.557,54242.7,46.012,1,4,6,528,1,4002.021,2.502,3.1,,,,,,,,8.856,16.721,6.672,14.071,0,"steady_clock",16.9,25.595,"D-r3","ebb4bddb76a75ffe8ebeb5a260859bc4b1fb0e2e","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/D/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T17:21:16.203Z,3j3q-cpk-static-orbit,0,1832,1010,2,static-orbit,cpk,2440800,59.993,0,600,600,16.637,16.7,18.2,18.6,0.19,17.363,15402.2,42.012,1,4,6,528,1,3260.76,,,,,,,,,,,,,,0,"steady_clock",0.4,19.044,"D-r3","ebb4bddb76a75ffe8ebeb5a260859bc4b1fb0e2e","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/D/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T17:21:35.420Z,4hhb-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,4779,59.99,59.99,360,360,16.618,16.7,18.2,18.5,0.3,1.598,399.8,46.019,1,4,6,528,1,273.809,0.131,0.2,,,,,,,,0.071,0.097,0.027,0.035,0,"steady_clock",0.4,1.637,"D-r3","ebb4bddb76a75ffe8ebeb5a260859bc4b1fb0e2e","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/D/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T17:21:46.501Z,4hhb-cpk-static-orbit,0,1832,1010,2,static-orbit,cpk,4779,60.154,0,361,361,16.618,16.7,18.2,18.6,0.302,1.584,294.6,42.019,1,4,6,528,1,232.194,,,,,,,,,,,,,,0,"steady_clock",0.4,1.639,"D-r3","ebb4bddb76a75ffe8ebeb5a260859bc4b1fb0e2e","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/D/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T17:22:06.002Z,4v6x-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,237685,60.14,60.14,361,361,16.622,16.7,18.3,18.8,1.031,8.459,8694.6,46.019,1,4,6,528,1,1378.484,0.548,0.7,,,,,,,,0.839,0.985,0.205,0.257,0,"steady_clock",1.3,8.893,"D-r3","ebb4bddb76a75ffe8ebeb5a260859bc4b1fb0e2e","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/D/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-24T17:22:16.866Z,4v6x-cpk-idle,0,1832,1010,2,idle,cpk,237685,59.987,0,240,0,16.597,16.7,18.1,18.5,0.042,0,2581.9,0.029,0,0,0,0,0,537.838,,,,,,,,,,,,,,0,"steady_clock",0.1,0,"D-r3","ebb4bddb76a75ffe8ebeb5a260859bc4b1fb0e2e","406cbda3066ef3666399a1519412d41cf51b73edaf77d2a57e15452ddd063cf3","/Users/user1/proj64/abl/D/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
