condition,ring,staging,structure,scenario,atoms,n,failed,update_fps_mean,update_fps_sd,render_fps_mean,render_fps_sd,frame_ms_mean_mean,frame_ms_mean_sd,frame_ms_p95_mean,frame_ms_p95_sd,cpu_ms_mean,cpu_ms_sd,gpu_ms_mean,gpu_ms_sd,crd_send_ms_mean,crd_send_ms_sd,crd_send_p95_ms_mean,crd_send_p95_ms_sd,tex_upload_ms_mean,tex_upload_ms_sd,tex_upload_p95_ms_mean,tex_upload_p95_ms_sd,crd_minus_tex_ms_mean,crd_minus_tex_ms_sd,alloc_mb_per_frame_mean,alloc_mb_per_frame_sd,napi_buf_mb_per_frame_mean,napi_buf_mb_per_frame_sd,tex_bytes_per_frame_mean,tex_bytes_per_frame_sd,rss_mb_mean,rss_mb_sd
A,0,0,4v6x,coord-morph,237685,3,0,59.989002,0.006242,59.989002,0.006242,16.621574,0.00274,18.3,0.1,1.538056,0.006532,7.97597,0.874091,1.365493,0.007251,1.681764,0.015998,0.159805,0.00061,0.233778,0.001545,1.205688,0.00676,0,0.0,2.863632,0.0,2863104,0.0,1381.821099,3.539146
B,1,0,4v6x,coord-morph,237685,3,0,59.989669,0.005771,59.989669,0.005771,16.619815,0.000424,17.9,0.34641,1.518333,0.020556,8.481096,0.006457,1.343267,0.01784,1.663667,0.005052,0.155797,0.00278,0.232514,0.001772,1.187469,0.015438,0,0.0,2.863632,0.0,2863104,0.0,1379.5328,1.867129
C,0,1,4v6x,coord-morph,237685,3,0,59.974997,0.158193,59.974997,0.158193,16.635236,0.03034,18.266667,0.152753,0.999557,0.014462,8.231548,0.3523,0.821731,0.008368,0.984917,0.002923,0.202568,0.004703,0.255653,0.003453,0.619163,0.003773,0,0.0,0.000528,0.0,2863104,0.0,1380.122624,2.590072
D,1,1,4v6x,coord-morph,237685,3,0,60.042211,0.093976,60.042211,0.093976,16.619057,0.000921,18.266667,0.057735,1.01482,0.021775,8.390365,0.142596,0.824903,0.020007,0.988181,0.012039,0.197126,0.00079,0.250764,0.003688,0.627777,0.019916,0,0.0,0.000528,0.0,2863104,0.0,1378.746368,0.355574
A,0,0,3j3q,coord-morph,2440800,3,0,36.932441,0.246342,36.932441,0.246342,26.97092,0.176205,30.933333,0.472582,24.223244,0.178317,24.264601,0.075674,23.928048,0.160298,26.717903,0.151888,18.963609,0.142718,21.829847,0.137137,4.96444,0.110412,0,0.0,29.29512,0.0,29294592,0.0,5227.309739,1108.649606
B,1,0,3j3q,coord-morph,2440800,3,0,54.796707,0.822535,54.796707,0.822535,18.213599,0.274475,29.8,0.818535,12.007746,0.185549,21.108278,0.113356,11.778705,0.180558,16.216305,0.390914,6.631755,0.126021,10.434916,0.585056,5.14695,0.060771,0,0.0,29.29512,0.0,29294592,0.0,4928.208896,542.178016
C,0,1,3j3q,coord-morph,2440800,3,0,39.139672,0.126411,39.139672,0.126411,25.471721,0.097332,27.566667,0.550757,23.377584,0.064222,23.541815,0.101612,23.283715,0.060373,25.134931,0.230641,21.282224,0.054044,23.113875,0.205855,2.001491,0.015788,0,0.0,0.000528,0.0,29294592,0.0,5228.838912,24.43858
D,1,1,3j3q,coord-morph,2440800,3,0,57.944694,0.225794,57.944694,0.225794,17.220847,0.060575,20.466667,0.57735,8.585034,0.186969,20.413232,0.077868,8.461219,0.189845,15.491861,1.561946,6.333543,0.179502,13.038875,1.566219,2.127675,0.02047,0,0.0,0.000528,0.0,29294592,0.0,5029.756928,1246.879069
