tool,spec,rep,order,ok,error,canvas_w,canvas_h,dpr,atoms,traj_frames,traj_lazy,render_fps,update_fps,frame_ms_mean,frame_ms_p95,first_draw_ms,load_ms,ws_peak_mb,ws_loaded_mb,ws_measure_peak_mb,private_peak_mb,ws_peak_renderer_mb,ws_peak_gpu_mb,ws_peak_browser_mb,upload_bytes_per_frame,upload_bytes_per_update,wall_ms,pagefile_before_mb,pagefile_after_mb,gpu
cuemol,ifabp-md,0,1,1,,1832,1010,2,12445,500,true,59.986,59.986,16.621,17.5,68.4,298.2,632.969,546.75,631.828,0,321.375,98.203,169.5,160272,160272,9195,5913,5913,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)"
cuemol,yiip-idle,0,2,1,,1832,1010,2,111815,,,59.989,0,16.62,17.3,464.8,603.4,695.391,694.859,690.938,0,355.766,126.5,169.188,0,,9424,5913,5913,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)"
molstar,yiip-idle,0,3,1,,1832,1010,2,111815,901,,0,0,0,0,5019.4,5019.4,3236.313,3235.188,3233.313,0,2514.672,115.063,562.766,0,,13803,5913,5913,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)"
molstar,ifabp-md,0,4,1,,1832,1010,2,12445,500,,59.971,37.315,16.62,18,204.1,204.1,900.672,869.203,898.688,0,469.109,110.578,277.219,124483.556,200062.857,8938,5913,5913,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)"
molstar,yiip-md,0,5,1,,1832,1010,2,111815,901,,60,41,16.621,16.9,5120.6,5120.6,3291.828,3251.844,3291.828,0,2563.859,116.563,567.484,1220775.111,1786500.163,13859,5913,5913,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)"
cuemol,yiip-md,0,6,1,,1832,1010,2,111815,901,true,59.988,59.988,16.62,17.7,618.4,766.4,1384.188,733.125,1369.234,0,1046.328,123.5,170.484,1352208,1352208,9593,5913,5913,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)"
