timestamp,spec,rep,canvas_w,canvas_h,dpr,scenario,renderer,atoms,render_fps,update_fps,frames,drawn_frames,frame_ms_mean,frame_ms_p50,frame_ms_p95,frame_ms_p99,cpu_ms_mean,gpu_ms_mean,load_ms,gl_total,gl_draw,gl_use_program,gl_buffer_sub_data,gl_buffer_sub_data_bytes,gl_get_uniform_location,rss_mb,update_ms_mean,update_ms_p95,traj_frames,traj_format,traj_lazy,update_first_ms_mean,update_first_n,update_cached_ms_mean,update_cached_n,crd_send_ms_mean,crd_send_ms_p95,tex_upload_ms_mean,tex_upload_ms_p95,alloc_mb_per_frame,napi_buf_mb_per_frame,transfer_clock,frame_ms_p95_cpu,gpu_ms_p95,label,git_sha,patch_sha256,addon_path,gpu,gl_version,platform
2026-09-25T01:20:01.178Z,3j3q-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,2440800,51.378,51.378,514,514,19.423,16.8,31,33.4,11.866,26.186,55771.7,49.014,1,4,7,29295120,1,2945.958,2.795,3.5,,,,,,,,11.73,17.232,9.274,14.618,0,0.001,"steady_clock",17.4,29.727,"F-r3","ebb4bddb76a75ffe8ebeb5a260859bc4b1fb0e2e","c976f716719ee436e6dd210222aebd1ec0f98c677b47207b39effa9e918a26d5","/Users/user1/proj64/abl/F/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
2026-09-25T01:20:29.334Z,4v6x-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,237685,59.992,59.992,360,360,16.62,16.7,17.7,18,1.205,9.156,8669.8,49.019,1,4,7,2863632,1,1380.647,0.642,0.9,,,,,,,,0.968,1.342,0.224,0.268,0,0.001,"steady_clock",1.7,9.85,"F-r3","ebb4bddb76a75ffe8ebeb5a260859bc4b1fb0e2e","c976f716719ee436e6dd210222aebd1ec0f98c677b47207b39effa9e918a26d5","/Users/user1/proj64/abl/F/tritium/core/build/Release/cuemol_internal.node","ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","MacIntel"
