timestamp,spec,rep,canvas_w,canvas_h,dpr,scenario,renderer,atoms,render_fps,update_fps,frames,drawn_frames,frame_ms_mean,frame_ms_p50,frame_ms_p95,frame_ms_p99,cpu_ms_mean,gpu_ms_mean,load_ms,gl_total,gl_draw,gl_use_program,gl_buffer_sub_data,gl_buffer_sub_data_bytes,gl_get_uniform_location,rss_mb
2026-09-21T09:14:57.455Z,1aon-cpk-prop-change,0,1832,1010,2,prop-change,cpk,58870,25.662,25.662,154,154,38.714,38.6,41.2,43,38.392,4.97,781.8,83,1,4,6,528,1,360.563
2026-09-21T09:15:09.239Z,1aon-cpk-prop-change,1,1832,1010,2,prop-change,cpk,58870,24.724,24.724,149,149,40.181,40,42.7,44.3,39.929,4.957,782.6,83,1,4,6,528,1,388.334
2026-09-21T09:15:21.060Z,1aon-cpk-prop-change,2,1832,1010,2,prop-change,cpk,58870,25.843,25.843,156,156,38.448,38.4,40.9,41.3,38.272,4.958,780.1,83,1,4,6,528,1,385.188
2026-09-21T09:15:32.819Z,1aon-cpk-static-orbit,0,1832,1010,2,static-orbit,cpk,58870,59.994,0,360,360,16.623,16.7,17.6,17.8,3.292,4.243,782.9,42,1,4,6,528,1,309.035
2026-09-21T09:15:44.635Z,1aon-cpk-static-orbit,1,1832,1010,2,static-orbit,cpk,58870,59.994,0,360,360,16.621,16.7,17.6,17.7,3.746,4.231,785.8,42,1,4,6,528,1,309.395
2026-09-21T09:15:56.435Z,1aon-cpk-static-orbit,2,1832,1010,2,static-orbit,cpk,58870,59.99,0,360,360,16.623,16.7,17.7,17.8,3.587,4.239,788.2,42,1,4,6,528,1,309.248
2026-09-21T09:16:08.577Z,1aon-ribbon-prop-change,0,1832,1010,2,prop-change,ribbon,58870,2.8,2.8,17,17,336.259,352.9,366.8,366.8,348.894,4.901,951.8,71,1,4,6,512,0,797.196
2026-09-21T09:16:20.674Z,1aon-ribbon-prop-change,1,1832,1010,2,prop-change,ribbon,58870,2.829,2.829,17,17,332.318,350,366.7,366.7,344.718,4.871,951.2,71,1,4,6,512,0,796.705
2026-09-21T09:16:32.885Z,1aon-ribbon-prop-change,2,1832,1010,2,prop-change,ribbon,58870,2.807,2.807,17,17,335.3,350.4,366.7,366.7,346.282,4.916,956.4,71,1,4,6,512,0,797.573
2026-09-21T09:16:44.868Z,1aon-ribbon-static-orbit,0,1832,1010,2,static-orbit,ribbon,58870,59.985,0,360,360,16.62,16.7,17.6,17.8,3.486,4.959,939.5,37,1,4,6,512,0,689.832
2026-09-21T09:16:56.796Z,1aon-ribbon-static-orbit,1,1832,1010,2,static-orbit,ribbon,58870,59.988,0,360,360,16.621,16.7,17.7,17.9,3.739,4.951,968,37,1,4,6,512,0,688.783
2026-09-21T09:17:08.741Z,1aon-ribbon-static-orbit,2,1832,1010,2,static-orbit,ribbon,58870,59.981,0,360,360,16.618,16.7,17.6,17.7,3.012,4.911,946.1,37,1,4,6,512,0,690.34
2026-09-21T09:17:20.011Z,1crn-cpk-static-orbit,0,1832,1010,2,static-orbit,cpk,327,59.983,0,360,360,16.623,16.7,17.7,17.8,0.352,0.804,264.2,42,1,4,6,528,1,225.706
2026-09-21T09:17:31.265Z,1crn-cpk-static-orbit,1,1832,1010,2,static-orbit,cpk,327,59.997,0,360,360,16.621,16.7,17.7,17.8,0.446,0.816,264.6,42,1,4,6,528,1,225.608
2026-09-21T09:17:42.627Z,1crn-cpk-static-orbit,2,1832,1010,2,static-orbit,cpk,327,59.982,0,360,360,16.621,16.7,16.9,17.5,0.297,0.808,265.7,42,1,4,6,528,1,225.378
2026-09-21T09:17:53.947Z,1crn-ribbon-static-orbit,0,1832,1010,2,static-orbit,ribbon,327,59.99,0,360,360,16.621,16.7,17.3,17.6,0.333,0.444,265.6,37,1,4,6,512,0,227.656
2026-09-21T09:18:05.208Z,1crn-ribbon-static-orbit,1,1832,1010,2,static-orbit,ribbon,327,59.981,0,360,360,16.62,16.7,17.2,17.6,0.311,0.435,264.6,37,1,4,6,512,0,227.443
2026-09-21T09:18:16.492Z,1crn-ribbon-static-orbit,2,1832,1010,2,static-orbit,ribbon,327,59.985,0,360,360,16.621,16.7,17.3,17.6,0.318,0.438,264.4,37,1,4,6,512,0,227.279
2026-09-21T09:18:27.797Z,4hhb-cpk-static-orbit,0,1832,1010,2,static-orbit,cpk,4779,60.148,0,361,361,16.621,16.7,17.3,17.6,0.76,1.583,297.6,42,1,4,6,528,1,231.67
2026-09-21T09:18:39.105Z,4hhb-cpk-static-orbit,1,1832,1010,2,static-orbit,cpk,4779,59.982,0,360,360,16.621,16.7,17.6,17.8,1.038,1.577,295.9,42,1,4,6,528,1,232.194
2026-09-21T09:18:50.394Z,4hhb-cpk-static-orbit,2,1832,1010,2,static-orbit,cpk,4779,59.985,0,360,360,16.621,16.7,17.5,17.8,0.778,1.589,293.2,42,1,4,6,528,1,232.342
2026-09-21T09:19:01.675Z,4hhb-ribbon-static-orbit,0,1832,1010,2,static-orbit,ribbon,4779,59.985,0,360,360,16.621,16.7,17.6,17.8,0.748,0.766,293.9,37,1,4,6,512,0,266.158
2026-09-21T09:19:12.961Z,4hhb-ribbon-static-orbit,1,1832,1010,2,static-orbit,ribbon,4779,59.978,0,360,360,16.62,16.7,17.5,17.8,0.639,0.761,293.1,37,1,4,6,512,0,265.994
2026-09-21T09:19:24.251Z,4hhb-ribbon-static-orbit,2,1832,1010,2,static-orbit,ribbon,4779,59.987,0,360,360,16.621,16.7,17.6,17.8,0.728,0.783,293.2,37,1,4,6,512,0,265.847
2026-09-21T09:19:38.143Z,4v6x-cpk-prop-change,0,1832,1010,2,prop-change,cpk,237685,5.175,5.175,32,32,186.975,198.1,200.2,200.6,183.534,9.013,2561.8,83,1,4,6,528,1,567.116
2026-09-21T09:19:51.965Z,4v6x-cpk-prop-change,1,1832,1010,2,prop-change,cpk,237685,5.238,5.238,32,32,184.897,184.3,201,201.1,184.044,9.236,2571.3,83,1,4,6,528,1,570.556
2026-09-21T09:20:05.774Z,4v6x-cpk-prop-change,2,1832,1010,2,prop-change,cpk,237685,5.207,5.207,32,32,185.941,196.8,200.9,201,183.828,9.188,2570.4,83,1,4,6,528,1,568.869
2026-09-21T09:20:19.367Z,4v6x-cpk-static-orbit,0,1832,1010,2,static-orbit,cpk,237685,59.992,0,360,360,16.62,16.7,17.2,17.7,5.39,9.246,2605.2,42,1,4,6,528,1,530.809
2026-09-21T09:20:32.975Z,4v6x-cpk-static-orbit,1,1832,1010,2,static-orbit,cpk,237685,59.982,0,360,360,16.621,16.7,17.6,17.7,5.04,8.461,2599.2,42,1,4,6,528,1,531.497
2026-09-21T09:20:46.822Z,4v6x-cpk-static-orbit,2,1832,1010,2,static-orbit,cpk,237685,59.989,0,360,360,16.621,16.7,17.6,17.7,5.614,8.454,2630.9,42,1,4,6,528,1,537.69
