timestamp,spec,rep,canvas_w,canvas_h,dpr,scenario,renderer,atoms,render_fps,update_fps,frames,drawn_frames,frame_ms_mean,frame_ms_p50,frame_ms_p95,frame_ms_p99,cpu_ms_mean,gpu_ms_mean,load_ms,gl_total,gl_draw,gl_use_program,gl_buffer_sub_data,gl_buffer_sub_data_bytes,gl_get_uniform_location,rss_mb
2026-09-22T01:27:16.385Z,1aon-cpk-input-latency,0,1832,1010,2,input-latency,cpk,58870,59.976,59.476,360,0,16.617,16.7,18.2,18.6,0.071,0,778.8,41.3,0.983,3.933,5.9,519.2,0.983,311.214
2026-09-22T01:27:28.139Z,1aon-cpk-input-latency,1,1832,1010,2,input-latency,cpk,58870,59.981,59.481,360,0,16.62,16.7,18.2,18.7,0.078,0,777.5,41.3,0.983,3.933,5.9,519.2,0.983,310.87
2026-09-22T01:27:39.881Z,1aon-cpk-input-latency,2,1832,1010,2,input-latency,cpk,58870,59.986,59.486,360,0,16.619,16.7,18,18.6,0.067,0,773.1,41.3,0.983,3.933,5.9,519.2,0.983,311.28
2026-09-22T01:27:51.140Z,1crn-cpk-input-latency,0,1832,1010,2,input-latency,cpk,327,60.143,59.643,361,0,16.62,16.7,17.8,18.4,0.056,0,265.6,41.302,0.983,3.934,5.9,519.224,0.983,224.936
2026-09-22T01:28:02.386Z,1crn-cpk-input-latency,1,1832,1010,2,input-latency,cpk,327,59.977,59.477,360,0,16.62,16.7,18,18.5,0.063,0,265.4,41.3,0.983,3.933,5.9,519.2,0.983,225.395
2026-09-22T01:28:13.638Z,1crn-cpk-input-latency,2,1832,1010,2,input-latency,cpk,327,60.135,59.635,361,0,16.62,16.7,18,18.6,0.052,0,265.6,41.302,0.983,3.934,5.9,519.224,0.983,225.378
2026-09-22T01:28:24.922Z,4hhb-cpk-input-latency,0,1832,1010,2,input-latency,cpk,4779,60.137,59.637,361,0,16.62,16.7,17.6,18.4,0.048,0,295,41.302,0.983,3.934,5.9,519.224,0.983,231.555
2026-09-22T01:28:36.193Z,4hhb-cpk-input-latency,1,1832,1010,2,input-latency,cpk,4779,59.991,59.491,360,0,16.62,16.7,17.9,18.6,0.056,0,292.6,41.3,0.983,3.933,5.9,519.2,0.983,231.735
2026-09-22T01:28:47.467Z,4hhb-cpk-input-latency,2,1832,1010,2,input-latency,cpk,4779,59.986,59.486,360,0,16.616,16.7,17.9,18.6,0.056,0,294.2,41.3,0.983,3.933,5.9,519.2,0.983,231.703
2026-09-22T01:29:00.988Z,4v6x-cpk-input-latency,0,1832,1010,2,input-latency,cpk,237685,60.157,59.657,361,0,16.616,16.7,18.2,18.6,0.091,0,2536.1,41.302,0.983,3.934,5.9,519.224,0.983,540.836
2026-09-22T01:29:14.504Z,4v6x-cpk-input-latency,1,1832,1010,2,input-latency,cpk,237685,60.163,59.663,361,0,16.619,16.7,18.1,18.5,0.074,0,2535,41.302,0.983,3.934,5.9,519.224,0.983,540.901
2026-09-22T01:29:27.998Z,4v6x-cpk-input-latency,2,1832,1010,2,input-latency,cpk,237685,59.972,59.472,360,0,16.618,16.7,18.3,18.6,0.074,0,2543.6,41.3,0.983,3.933,5.9,519.2,0.983,540.344
