timestamp,spec,rep,canvas_w,canvas_h,dpr,scenario,renderer,atoms,render_fps,update_fps,frames,drawn_frames,frame_ms_mean,frame_ms_p50,frame_ms_p95,frame_ms_p99,cpu_ms_mean,gpu_ms_mean,load_ms,gl_total,gl_draw,gl_use_program,gl_buffer_sub_data,gl_buffer_sub_data_bytes,gl_get_uniform_location,rss_mb
2026-09-22T03:09:11.881Z,1aon-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,58870,59.986,59.986,360,360,16.621,16.7,17.7,18,0.699,4.187,2046.7,46,1,4,6,528,1,606.798
2026-09-22T03:09:24.884Z,1aon-cpk-coord-morph,1,1832,1010,2,coord-morph,cpk,58870,59.995,59.995,360,360,16.62,16.7,17.7,18.2,0.766,4.203,2035.2,46,1,4,6,528,1,613.024
2026-09-22T03:09:37.925Z,1aon-cpk-coord-morph,2,1832,1010,2,coord-morph,cpk,58870,59.986,59.986,360,360,16.621,16.7,17.7,18.1,0.781,4.2,2042.4,46,1,4,6,528,1,613.188
2026-09-22T03:09:49.765Z,1aon-cpk-prop-change,0,1832,1010,2,prop-change,cpk,58870,22.425,22.425,135,135,44.267,44.4,46.4,46.6,42.227,4.769,780.4,93,1,4,6,528,1,385.122
2026-09-22T03:10:01.614Z,1aon-cpk-prop-change,1,1832,1010,2,prop-change,cpk,58870,22.515,22.515,136,136,44.089,44.1,46.3,47.8,42.039,4.836,775.4,93,1,4,6,528,1,403.096
2026-09-22T03:10:13.452Z,1aon-cpk-prop-change,2,1832,1010,2,prop-change,cpk,58870,22.183,22.183,134,134,44.742,44.8,46.8,47.1,42.74,4.851,775.6,93,1,4,6,528,1,392.823
2026-09-22T03:10:25.245Z,1aon-cpk-static-orbit,0,1832,1010,2,static-orbit,cpk,58870,59.98,0,360,360,16.623,16.7,17.4,17.7,0.409,4.248,782.4,42,1,4,6,528,1,313.41
2026-09-22T03:10:37.035Z,1aon-cpk-static-orbit,1,1832,1010,2,static-orbit,cpk,58870,59.996,0,360,360,16.621,16.7,17.2,17.6,0.361,4.249,775.1,42,1,4,6,528,1,313.115
2026-09-22T03:10:48.827Z,1aon-cpk-static-orbit,2,1832,1010,2,static-orbit,cpk,58870,59.986,0,360,360,16.621,16.7,17.4,17.7,0.398,4.249,779.4,42,1,4,6,528,1,313.082
2026-09-22T03:11:00.143Z,1crn-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,327,59.983,59.983,360,360,16.62,16.7,17.3,17.6,0.362,0.817,276.6,46,1,4,6,528,1,258.359
2026-09-22T03:11:11.424Z,1crn-cpk-coord-morph,1,1832,1010,2,coord-morph,cpk,327,59.98,59.98,360,360,16.621,16.7,17.2,17.6,0.372,0.828,274.8,46,1,4,6,528,1,258.081
2026-09-22T03:11:22.705Z,1crn-cpk-coord-morph,2,1832,1010,2,coord-morph,cpk,327,59.988,59.988,360,360,16.619,16.7,17.4,17.6,0.363,0.813,274.4,46,1,4,6,528,1,258.13
2026-09-22T03:11:34.017Z,1crn-cpk-static-orbit,0,1832,1010,2,static-orbit,cpk,327,59.988,0,360,360,16.622,16.7,17.1,17.4,0.402,0.826,264.2,42,1,4,6,528,1,227
2026-09-22T03:11:45.282Z,1crn-cpk-static-orbit,1,1832,1010,2,static-orbit,cpk,327,59.985,0,360,360,16.62,16.7,17.4,17.8,0.563,0.819,264.3,42,1,4,6,528,1,227.197
2026-09-22T03:11:56.582Z,1crn-cpk-static-orbit,2,1832,1010,2,static-orbit,cpk,327,59.986,0,360,360,16.62,16.7,17.2,17.5,0.339,0.822,265.4,42,1,4,6,528,1,227.295
2026-09-22T03:12:07.982Z,4hhb-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,4779,60.157,60.157,361,361,16.619,16.7,17.4,17.6,0.381,1.588,395.7,46,1,4,6,528,1,289.178
2026-09-22T03:12:19.378Z,4hhb-cpk-coord-morph,1,1832,1010,2,coord-morph,cpk,4779,59.982,59.982,360,360,16.62,16.7,17.5,17.7,0.32,1.579,396.4,46,1,4,6,528,1,289.325
2026-09-22T03:12:30.790Z,4hhb-cpk-coord-morph,2,1832,1010,2,coord-morph,cpk,4779,59.982,59.982,360,360,16.62,16.7,17.5,17.6,0.425,1.569,394.6,46,1,4,6,528,1,288.653
2026-09-22T03:12:42.092Z,4hhb-cpk-static-orbit,0,1832,1010,2,static-orbit,cpk,4779,59.985,0,360,360,16.62,16.7,17.3,17.6,0.38,1.59,293.5,42,1,4,6,528,1,233.39
2026-09-22T03:12:53.388Z,4hhb-cpk-static-orbit,1,1832,1010,2,static-orbit,cpk,4779,59.983,0,360,360,16.623,16.7,17.3,17.6,0.372,1.588,293.2,42,1,4,6,528,1,233.128
2026-09-22T03:13:04.739Z,4hhb-cpk-static-orbit,2,1832,1010,2,static-orbit,cpk,4779,59.982,0,360,360,16.62,16.7,17.3,17.7,0.319,1.587,294.6,42,1,4,6,528,1,233.914
2026-09-22T03:13:24.330Z,4v6x-cpk-coord-morph,0,1832,1010,2,coord-morph,cpk,237685,59.98,59.98,360,360,16.62,16.7,17.1,17.4,1.521,8.459,8599.8,46,1,4,6,528,1,1439.81
2026-09-22T03:13:43.919Z,4v6x-cpk-coord-morph,1,1832,1010,2,coord-morph,cpk,237685,59.991,59.991,360,360,16.623,16.7,17.6,17.7,1.49,8.468,8601.1,46,1,4,6,528,1,1381.057
2026-09-22T03:14:03.490Z,4v6x-cpk-coord-morph,2,1832,1010,2,coord-morph,cpk,237685,59.984,59.984,360,360,16.62,16.7,17.1,17.6,1.493,8.471,8586.6,46,1,4,6,528,1,1447.494
2026-09-22T03:14:17.264Z,4v6x-cpk-prop-change,0,1832,1010,2,prop-change,cpk,237685,4.614,4.614,28,28,208.929,216.7,216.7,216.8,195.232,9.119,2572.3,93,1,4,6,528,1,610.025
2026-09-22T03:14:31.031Z,4v6x-cpk-prop-change,1,1832,1010,2,prop-change,cpk,237685,4.614,4.614,28,28,208.929,216.7,217.3,217.6,196.221,9.164,2565.3,93,1,4,6,528,1,609.518
2026-09-22T03:14:44.780Z,4v6x-cpk-prop-change,2,1832,1010,2,prop-change,cpk,237685,4.616,4.616,28,28,208.929,216.7,216.8,217.3,195.15,9.111,2574.9,93,1,4,6,528,1,578.486
2026-09-22T03:14:58.334Z,4v6x-cpk-static-orbit,0,1832,1010,2,static-orbit,cpk,237685,59.989,0,360,360,16.621,16.7,17.3,17.7,0.36,8.379,2572.1,42,1,4,6,528,1,540.312
2026-09-22T03:15:11.897Z,4v6x-cpk-static-orbit,1,1832,1010,2,static-orbit,cpk,237685,60.155,0,361,361,16.621,16.7,17.7,17.8,0.372,8.386,2568.1,42,1,4,6,528,1,540.852
2026-09-22T03:15:25.414Z,4v6x-cpk-static-orbit,2,1832,1010,2,static-orbit,cpk,237685,59.993,0,360,360,16.62,16.7,17.4,17.8,0.346,8.391,2569.3,42,1,4,6,528,1,540.951
