timestamp,spec,rep,canvas_w,canvas_h,dpr,scenario,renderer,atoms,render_fps,update_fps,frames,drawn_frames,frame_ms_mean,frame_ms_p50,frame_ms_p95,frame_ms_p99,cpu_ms_mean,gpu_ms_mean,load_ms,gl_total,gl_draw,gl_use_program,gl_buffer_sub_data,gl_buffer_sub_data_bytes,gl_get_uniform_location,rss_mb,update_ms_mean,update_ms_p95,traj_frames,traj_format,traj_lazy,update_first_ms_mean,update_first_n,update_cached_ms_mean,update_cached_n,gpu,gl_version,platform
2026-09-25T07:21:36.986Z,1aon-cpk-coord-morph,0,1833,1008,1.5,coord-morph,cpk,58870,59.985,59.985,360,360,16.623,16.7,17.1,17.6,0.253,3.861,2912.1,46.019,1,4,6,528,1,549.786,0.254,0.4,,,,,,,,"ANGLE (NVIDIA, NVIDIA GeForce RTX 4070 (0x00002786) Direct3D11 vs_5_0 ps_5_0, D3D11)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","Win32"
2026-09-25T07:21:50.160Z,1aon-cpk-coord-morph,1,1833,1008,1.5,coord-morph,cpk,58870,59.999,59.999,360,360,16.619,16.7,17.1,17.4,0.246,4.15,2495.9,46.019,1,4,6,528,1,552.98,0.23,0.4,,,,,,,,"ANGLE (NVIDIA, NVIDIA GeForce RTX 4070 (0x00002786) Direct3D11 vs_5_0 ps_5_0, D3D11)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","Win32"
2026-09-25T07:22:03.277Z,1aon-cpk-coord-morph,2,1833,1008,1.5,coord-morph,cpk,58870,59.998,59.998,360,360,16.622,16.7,17,18.2,0.235,4.448,2470,46.019,1,4,6,528,1,551.719,0.248,0.4,,,,,,,,"ANGLE (NVIDIA, NVIDIA GeForce RTX 4070 (0x00002786) Direct3D11 vs_5_0 ps_5_0, D3D11)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","Win32"
2026-09-25T07:22:12.403Z,1aon-cpk-idle,0,1833,1008,1.5,idle,cpk,58870,59.991,0,240,0,16.598,16.7,16.9,17,0.044,0,944.2,0.029,0,0,0,0,0,256.713,,,,,,,,,,"ANGLE (NVIDIA, NVIDIA GeForce RTX 4070 (0x00002786) Direct3D11 vs_5_0 ps_5_0, D3D11)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","Win32"
2026-09-25T07:22:21.486Z,1aon-cpk-idle,1,1833,1008,1.5,idle,cpk,58870,59.852,0,240,0,16.597,16.7,16.8,17,0.035,0,946.9,0.029,0,0,0,0,0,256.877,,,,,,,,,,"ANGLE (NVIDIA, NVIDIA GeForce RTX 4070 (0x00002786) Direct3D11 vs_5_0 ps_5_0, D3D11)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","Win32"
2026-09-25T07:22:30.594Z,1aon-cpk-idle,2,1833,1008,1.5,idle,cpk,58870,60.052,0,241,0,16.599,16.7,16.8,17.1,0.037,0,946.9,0.029,0,0,0,0,0,256.889,,,,,,,,,,"ANGLE (NVIDIA, NVIDIA GeForce RTX 4070 (0x00002786) Direct3D11 vs_5_0 ps_5_0, D3D11)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","Win32"
2026-09-25T07:22:42.162Z,1aon-cpk-input-latency,0,1833,1008,1.5,input-latency,cpk,58870,59.998,59.498,360,0,16.621,16.7,16.8,17.1,0.017,0,929.1,41.319,0.983,3.933,5.9,519.2,0.983,261.145,,,,,,,,,,"ANGLE (NVIDIA, NVIDIA GeForce RTX 4070 (0x00002786) Direct3D11 vs_5_0 ps_5_0, D3D11)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","Win32"
2026-09-25T07:22:53.713Z,1aon-cpk-input-latency,1,1833,1008,1.5,input-latency,cpk,58870,59.995,59.495,360,0,16.622,16.7,16.8,17,0.012,0,929.7,41.319,0.983,3.933,5.9,519.2,0.983,264.958,,,,,,,,,,"ANGLE (NVIDIA, NVIDIA GeForce RTX 4070 (0x00002786) Direct3D11 vs_5_0 ps_5_0, D3D11)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","Win32"
2026-09-25T07:23:05.313Z,1aon-cpk-input-latency,2,1833,1008,1.5,input-latency,cpk,58870,60.133,59.633,361,0,16.621,16.7,16.8,17,0.016,0,928.7,41.321,0.983,3.934,5.9,519.224,0.983,264.557,,,,,,,,,,"ANGLE (NVIDIA, NVIDIA GeForce RTX 4070 (0x00002786) Direct3D11 vs_5_0 ps_5_0, D3D11)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","Win32"
2026-09-25T07:23:10.908Z,1aon-cpk-load,0,1833,1008,1.5,load,cpk,58870,59.508,0,90,0,16.483,16.7,16.8,18.2,0.053,0,931.6,0.078,0,0,0,0,0,255.75,,,,,,,,,,"ANGLE (NVIDIA, NVIDIA GeForce RTX 4070 (0x00002786) Direct3D11 vs_5_0 ps_5_0, D3D11)","WebGL 2.0 (OpenGL ES 3.0 Chromium)","Win32"
