condition,ring,staging,structure,scenario,atoms,n,failed,update_fps_mean,update_fps_sd,render_fps_mean,render_fps_sd,frame_ms_mean_mean,frame_ms_mean_sd,frame_ms_p95_mean,frame_ms_p95_sd,cpu_ms_mean,cpu_ms_sd,gpu_ms_mean,gpu_ms_sd,crd_send_ms_mean,crd_send_ms_sd,crd_send_p95_ms_mean,crd_send_p95_ms_sd,tex_upload_ms_mean,tex_upload_ms_sd,tex_upload_p95_ms_mean,tex_upload_p95_ms_sd,crd_minus_tex_ms_mean,crd_minus_tex_ms_sd,alloc_mb_per_frame_mean,alloc_mb_per_frame_sd,napi_buf_mb_per_frame_mean,napi_buf_mb_per_frame_sd,tex_bytes_per_frame_mean,tex_bytes_per_frame_sd,rss_mb_mean,rss_mb_sd
D,1,1,4v6x,coord-morph,237685,3,0,59.989669,0.008961,59.989669,0.008961,16.620648,0.000976,17.866667,0.404145,0.954352,0.011868,8.413757,0.069298,0.780943,0.011479,0.980111,0.01025,0.181918,0.002182,0.255958,0.013435,0.599025,0.009459,0,0.0,0.000528,0.0,2863104,0.0,1378.79552,1.586205
F,,,4v6x,coord-morph,237685,3,0,59.992334,0.000577,59.992334,0.000577,16.62,0.000481,17.466667,0.208167,1.099722,0.090948,8.926445,0.198928,0.888628,0.068785,1.129111,0.1843,0.21331,0.009432,0.265778,0.005244,0.675318,0.059549,0,0.0,0.000528,0.0,0,0.0,1380.291925,0.3375
D,1,1,3j3q,coord-morph,2440800,3,0,57.724442,0.436398,57.724442,0.436398,17.291462,0.121468,21.5,0.6245,9.045669,0.343329,20.867607,0.302508,8.921709,0.33633,17.273722,0.498703,6.743868,0.296465,14.613542,0.628633,2.177841,0.044052,0,0.0,0.000528,0.0,29294592,0.0,4012.108459,843.115891
F,,,3j3q,coord-morph,2440800,3,0,51.569828,0.165824,51.569828,0.165824,19.346397,0.06599,30.9,0.264575,11.927907,0.076669,26.162847,0.028757,11.790249,0.076952,17.278167,0.055545,9.422244,0.135555,14.751167,0.11666,2.368005,0.07711,0,0.0,0.000528,0.0,0,0.0,3807.827285,823.909162
