tool,spec,rep,order,ok,error,canvas_w,canvas_h,dpr,atoms,traj_frames,traj_lazy,render_fps,update_fps,frame_ms_mean,frame_ms_p95,first_draw_ms,load_ms,ws_peak_mb,ws_loaded_mb,ws_measure_peak_mb,private_peak_mb,ws_peak_renderer_mb,ws_peak_gpu_mb,ws_peak_browser_mb,upload_bytes_per_frame,upload_bytes_per_update,wall_ms,pagefile_before_mb,pagefile_after_mb,gpu
cuemol,yiip-md,0,1,1,,1832,1010,1,111815,901,true,59.996,59.996,16.621,16.8,702.1,786,1280.984,658.297,1278.137,1182.582,1003.395,129.328,99.988,1352208,1352208,9367,47,47,"ANGLE (NVIDIA, NVIDIA GeForce RTX 4070 (0x00002786) Direct3D11 vs_5_0 ps_5_0, D3D11)"
molstar,ifabp-md,0,2,1,,1832,1010,1,12445,500,,60.071,40.269,16.621,17.1,419.1,419.1,706.715,691.176,706.715,754.238,322.563,117.734,222.148,134158.892,200129.587,8880,47,47,"ANGLE (NVIDIA, NVIDIA GeForce RTX 4070 (0x00002786) Direct3D11 vs_5_0 ps_5_0, D3D11)"
molstar,yiip-md,0,3,1,,1832,1010,1,111815,901,,59.962,40.474,16.621,17,4729.4,4729.4,2767.574,2738.844,2767.574,2838.684,2098.871,122.348,501.91,1205826.844,1786410.14,13271,47,47,"ANGLE (NVIDIA, NVIDIA GeForce RTX 4070 (0x00002786) Direct3D11 vs_5_0 ps_5_0, D3D11)"
cuemol,yiip-idle,0,4,1,,1832,1010,1,111815,,,59.955,0,16.621,17.2,507.7,602.4,608.816,607.527,608.465,536.754,329.168,131.59,99.672,0,,9232,47,47,"ANGLE (NVIDIA, NVIDIA GeForce RTX 4070 (0x00002786) Direct3D11 vs_5_0 ps_5_0, D3D11)"
cuemol,ifabp-md,0,5,1,,1832,1010,1,12445,500,true,59.988,59.988,16.624,17.4,110.7,306.9,512.02,420.371,512.02,410.887,261.73,101.926,99.875,160272,160272,8931,47,47,"ANGLE (NVIDIA, NVIDIA GeForce RTX 4070 (0x00002786) Direct3D11 vs_5_0 ps_5_0, D3D11)"
molstar,yiip-idle,0,6,1,,1832,1010,1,111815,901,,0,0,0,0,4730.9,4730.9,2745.094,2745.063,2744.953,2829.695,2062.672,128.133,509.527,0,,13248,47,47,"ANGLE (NVIDIA, NVIDIA GeForce RTX 4070 (0x00002786) Direct3D11 vs_5_0 ps_5_0, D3D11)"
