structure,metric,A,B,C,D,ring_main,staging_main,interaction
3j3q,update_fps,36.9846,55.1652,39.0317,57.9414,18.5452,2.4116,0.7292
3j3q,crd_send_ms,23.8879,11.6803,23.365,8.7001,-13.4362,-1.7515,-2.4572
3j3q,tex_upload_ms,18.9013,6.559,21.3679,6.5506,-13.5798,1.2291,-2.4749
3j3q,crd_minus_tex_ms,4.9866,5.1213,1.9971,2.1495,0.1435,-2.9807,0.0177
4v6x,update_fps,60.0435,59.9893,59.9903,60.0329,-0.0058,-0.0048,0.0967
4v6x,crd_send_ms,1.3535,1.3746,0.8448,0.8363,0.0063,-0.5234,-0.0297
4v6x,tex_upload_ms,0.1616,0.1614,0.1996,0.2007,0.0005,0.0386,0.0013
4v6x,crd_minus_tex_ms,1.1918,1.2132,0.6452,0.6356,0.0059,-0.5621,-0.031
